timestamp,machine_id,temperature_c,vibration_mm_s,rpm,current_a,load_pct,belt_speed_mps,throughput_units_min,ambient_temperature_c,operating_mode,machine_state,fault_label,fault_severity,temperature_c_anomaly_score,temperature_c_rolling_z,vibration_mm_s_anomaly_score,vibration_mm_s_rolling_z,current_a_anomaly_score,current_a_rolling_z,rpm_anomaly_score,rpm_rolling_z,throughput_units_min_anomaly_score,throughput_units_min_rolling_z,anomaly_score,is_anomaly,anomaly_severity,contributing_sensors,suspected_fault
2026-05-20T14:00:00,line1_motor1,59.59,0.614,1507.8,9.96,65.76,1.378,107.48,22.69,production,normal,normal,none,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.95,0.0,0.5801,True,medium,rpm;throughput_units_min,unknown_anomaly
2026-05-20T14:00:01,line1_motor1,61.39,0.627,1510.2,10.62,65.24,1.378,104.41,22.75,production,normal,normal,none,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.95,0.0,0.5801,True,medium,rpm;throughput_units_min,unknown_anomaly
2026-05-20T14:00:02,line1_motor1,60.36,0.673,1508.2,10.65,66.49,1.359,107.78,22.72,production,normal,normal,none,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.95,0.0,0.5801,True,medium,rpm;throughput_units_min,unknown_anomaly
2026-05-20T14:00:03,line1_motor1,60.75,0.708,1506.7,10.7,64.78,1.365,104.5,22.9,production,normal,normal,none,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.95,0.0,0.5801,True,medium,rpm;throughput_units_min,unknown_anomaly
2026-05-20T14:00:04,line1_motor1,59.71,0.643,1507.6,10.52,64.85,1.382,110.11,22.77,production,normal,normal,none,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.95,0.0,0.5801,True,medium,rpm;throughput_units_min,unknown_anomaly
2026-05-20T14:00:05,line1_motor1,61.89,0.667,1486.8,10.93,68.27,1.339,110.6,23.18,production,normal,normal,none,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.95,0.0,0.5801,True,medium,rpm;throughput_units_min,unknown_anomaly
2026-05-20T14:00:06,line1_motor1,61.45,0.648,1498.0,10.39,68.39,1.36,109.08,23.04,production,normal,normal,none,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.95,0.0,0.5801,True,medium,rpm;throughput_units_min,unknown_anomaly
2026-05-20T14:00:07,line1_motor1,60.9,0.619,1487.6,10.11,66.28,1.355,110.1,23.47,production,normal,normal,none,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.95,0.0,0.5801,True,medium,rpm;throughput_units_min,unknown_anomaly
2026-05-20T14:00:08,line1_motor1,61.87,0.692,1489.4,11.26,69.03,1.328,105.49,23.27,production,normal,normal,none,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.95,0.0,0.5801,True,medium,rpm;throughput_units_min,unknown_anomaly
2026-05-20T14:00:09,line1_motor1,60.83,0.635,1501.3,10.45,65.23,1.365,105.64,23.18,production,normal,normal,none,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.95,0.0,0.5801,True,medium,rpm;throughput_units_min,unknown_anomaly
2026-05-20T14:00:10,line1_motor1,62.23,0.652,1489.3,10.53,68.95,1.33,110.08,22.84,production,normal,normal,none,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.95,0.0,0.5801,True,medium,rpm;throughput_units_min,unknown_anomaly
2026-05-20T14:00:11,line1_motor1,62.03,0.715,1501.1,10.83,69.29,1.349,106.4,23.17,production,normal,normal,none,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.95,0.0,0.5801,True,medium,rpm;throughput_units_min,unknown_anomaly
2026-05-20T14:00:12,line1_motor1,61.53,0.621,1504.7,10.45,65.05,1.337,107.36,22.74,production,normal,normal,none,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.95,0.0,0.5801,True,medium,rpm;throughput_units_min,unknown_anomaly
2026-05-20T14:00:13,line1_motor1,59.64,0.633,1486.5,10.99,66.3,1.327,106.56,22.98,production,normal,normal,none,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.95,0.0,0.5801,True,medium,rpm;throughput_units_min,unknown_anomaly
2026-05-20T14:00:14,line1_motor1,61.27,0.698,1497.0,10.89,67.42,1.336,107.12,22.62,production,normal,normal,none,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.95,0.0,0.5801,True,medium,rpm;throughput_units_min,unknown_anomaly
2026-05-20T14:00:15,line1_motor1,61.47,0.686,1500.0,11.02,66.62,1.377,105.35,23.11,production,normal,normal,none,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.95,0.0,0.5801,True,medium,rpm;throughput_units_min,unknown_anomaly
2026-05-20T14:00:16,line1_motor1,61.3,0.695,1490.8,11.07,67.85,1.312,102.72,22.78,production,normal,normal,none,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.95,0.0,0.5801,True,medium,rpm;throughput_units_min,unknown_anomaly
2026-05-20T14:00:17,line1_motor1,61.81,0.745,1515.2,11.24,70.5,1.426,121.72,23.31,production,normal,normal,none,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.95,0.0,0.5801,True,medium,rpm;throughput_units_min,unknown_anomaly
